Numéro notice,Titre,Auteur,Titre Périodique,Volume,Numéro,Date,DateDébut,DateFin,Collation,Editeur,Lieu,Notes,Type,Sujets
399,"Artiste franco cherche oreille attentive. Comment vas-tu, chanson ?","BARRIÈRE, Caroline",Le Droit,,,13 juin 1998,1998-06-13,1998-06-13,p. A3,,,,Analyse,"industrie|Demers, Paul|autoproduction|Paquette, Robert|relève|identité"
400,Garolou à Thurso,"SOUCY, Yves",Le Droit,,,2 mai 1998,1998-05-02,1998-05-02,p. A6,,,,Annonce,Garolou|rock|folklore
401,Le loup-garou rugit toujours. Garolou : Réunion,"LACHAPELLE, Judith",Le Droit,,,21 juin 1997,1997-06-21,1997-06-21,p. A16,,,,Critique,"Garolou|folklore|rock|Lalonde, Michel|identité|Réunion"
402,Premier festival de hip-hop franco à Ottawa,"TURCOT, Geneviève",Le Droit,,,2 juin 2005,2005-06-02,2005-06-02,p. 29,,,,Annonce,"ZPN (Muipatavi, David)|Z Show Festival|hip hop"
403,Le Shah Loskar,"TURCOT, Geneviève",Le Droit,,,26 février 2005,2005-02-26,2005-02-26,p. A14,,,,Critique,Le Shah Loskar (Jean Chéry)|Le Frenchman/Lamanière forte
404,Paul Demers à Francovision 1993,"LAURIN, Renée",Le Droit,,,16 octobre 1993,1993-10-16,1993-10-16,p. A4,,,,Texte d'information,"Demers, Paul|Francovision"
405,30 ans de chansons fera le tour de l'Ontario,"LORD, Audrey",Le Droit,,,11 septembre 2004,2004-09-11,2004-09-11,p. 34,,,,Annonce,"Lajoie, Josée|Monette, Serge|Demers, Paul|30 ans de chansons|Festival Franco-ontarien"
406,Paul Demers recevra un hommage lors du Gala des prix Trille Or,"MONGRAIN, Marc-André",Le Droit,,,22 mars 2007,2007-03-22,2007-03-22,p. 36,,,,Portrait,"Demers, Paul|prix Trille Or|Prix hommage|APCM (Association des professionnels de la chanson et de la musique)"
407,Trilles Or : Lefebvre l'orfèvre,"MONGRAIN, Marc-André",Le Droit,,,23 mars 2007,2007-03-23,2007-03-23,p. 44,,,,Annonce,"prix Trille Or|Lefebvre, Amélie|Iceberg|Swing|Demers, Paul"
408,Stef Paquette au Coup de coeur francophone,"PILON, France",,,,17 novembre 2004,2004-11-17,2004-11-17,p. 53,,,,Portrait,"Paquette, Stéphane (Stef)|Coup de coeur francophone"
409,Stef Paquette au Liban,,,,,14 mars 2005,2005-03-14,2005-03-14,p. 26,,,,Texte d'information,"Paquette, Stéphane (Stef)"
410,Ontario Pop : Parisien et Chéry font table rase,"CÔTÉ, Claude",Le Droit,,,27 juin 2001,2001-06-27,2001-06-27,p. 39,,,,Annonce,Ontario Pop|Le Shah Loskar (Jean Chéry)
411,Amélie Lefebvre lance son premier album,"BUXEDA, Yann",L'Express de Toronto,,,14 - 20 novembre 2006,2006-11-14,2006-11-20,p. 8,,,,Annonce,"Lefebvre, Amélie|Amélie Chante!"
412,"""I think I shook things up a little""","O'FLANAGAN, Rob",Sudbury Star,,,27 août 2003,2003-08-27,2003-08-27,p. A1,,,,Annonce,"Paquette, Stéphane (Stef)|Festival international de la chanson de Granby"
413,Sudbury singer wows Quebec audiences,"O'FLANAGAN, Rob",Sudbury Star,,,6 octobre 2003,2003-10-06,2003-10-06,p. A2,,,,Texte d'information,"Paquette, Stéphane (Stef)"
414,"Vollé et Flahaut, deux cousins réunis","PILON, France",Le Droit,,,8 mars 2002,2002-03-08,2002-03-08,p. 56,,,,Annonce,"Vollé, Yvan (Yvan Bilodeau)|Flahaut, Philippe"
415,Le vagabond du quotidien,"LESSARD, Valérie",Le Droit,,,20 mars 2004,2004-03-20,2004-03-20,p. A14,,,,Portrait,"Flahaut, Philippe|Seul avec les autres|blues"
416,"Arrivé trop tôt, Philippe Flahaut ?","PILON, France",Le Droit,,,13 mars 2006,2006-03-13,2006-03-13,p. A5,,,,Entrevue,"Flahaut, Philippe|blues|inspiration"
417,Un prix hommage pour Robert Paquette,"BARRIÈRE, Caroline",Le Droit,,,13 mars 2001,2001-03-13,2001-03-13,p. 31,,,,Texte d'information,"Paquette, Robert|prix Trille Or|Prix hommage"
418,Un trip avec un kick,"SURPRENANT, Jean-Claude",Le Droit,,,15 avril 1995,1995-04-15,1995-04-15,p. A3,,,,Entrevue,"Paquette, Robert|Demers, Paul|Moi, je viens du Nord"
419,Robert Paquette. Vent du nord,"DUGAS, Louise",Voir,,,8 juin 1995,1995-06-08,1995-06-08,p. 17,,,,Entrevue,"Paquette, Robert|identité"
420,Festival franco-ontarien. Robert Paquette : du rythme à la douceur,"LEMIEUX, Julie",Le Droit,,,23 juin 1995,1995-06-23,1995-06-23,p. 38,,,,Compte rendu,"Paquette, Robert|Festival Franco-ontarien"
421,"Robert Paquette : Moi, j'viens du Nord",,La Presse,,,13 avril 1995,1995-04-13,1995-04-13,p. D8,,,"Paru aussi chez : Le Soleil sous le titre ""Robert Paquette, Québécois avant tout"", Laferrière, Michèle, 8 avril 1995, p. C6",Texte d'information,"Paquette, Robert|Moi, je viens du Nord|identité"
422,Paul Demers,"SAULNIER, Laurent",Voir,13,2,14 janvier 1999,1999-01-14,1999-01-14,p. 32,,,,Critique,"Demers, Paul|D'hier à toujours"
423,"Les ""derniers"" Canadiens français. La culture. À côté du ""truck"" à patates","GRATTON, Denis",Le Droit,,,10 mai 1994,1994-05-10,1994-05-10,p. 12,,,,Opinion,"Festival Franco-ontarien|Demers, Paul|identité|culture"
424,Les tripes sur la table. Paul Demers : D'hier à toujours,"PILON, France",Le Droit,,,17 octobre 1998,1998-10-17,1998-10-17,p. A10,,,,Annonce,"Demers, Paul|D'hier à toujours"
425,Club Richelieu honours francophone artist : Paquette receives Merite Horace-Viau award,"PILON, Claire",Sudbury Star,,,24 avril 2003,2003-04-24,2003-04-24,p. B9,,,,Annonce,"Paquette, Stéphane (Stef)|Mérite Horace-Viau"
426,"Hanmer musician to tour Mideast : His latest CD also nominated for best song, album","O'FLANAGAN, Rob",Sudbury Star,,,10 mars 2005,2005-03-10,2005-03-10,p. A1,,,,Portrait,"Paquette, Stéphane (Stef)"
427,"For now, Stephane Paquette just wants a little bit of sleep","O'FLANAGAN, Rob",Sudbury Star,,,5 avril 2005,2005-04-05,2005-04-05,p. A4,,,,Texte d'information,"Paquette, Stéphane (Stef)|L'homme exponentiel|prix Trille Or|tournées"
428,Artiste invité pour l'ouverture du Bal de neige. Swinguer votre compagnie avec Swing,"BARRIÈRE, Caroline",Le Droit,,,4 février 2000,2000-02-04,2000-02-04,p. 41,,,,Portrait,"Swing|Bénac, Michel|Lalonde, Bobby|techno-trad|La chanson sacrée"
429,Swing fera... swinguer les festivaliers du Carnaval de Québec,"TURCOT, Geneviève",Le Droit,,,9 janvier 2004,2004-01-09,2004-01-09,p. 43,,,,Annonce,"Swing|Bénac, Michel"
430,Swing tourne à Vanier,"TURCOT, Geneviève",Le Droit,,,28 juillet 2004,2004-07-28,2004-07-28,p. 28,,,,Texte d'information,"Swing|Bénac, Michel|Goulet, Jean-Philippe|vidéoclip|techno-trad"
431,"Bénac et Goulet ""swinguent"" jusqu'à l'ADISQ","LESSARD, Valérie",Le Droit,,,18 septembre 2004,2004-09-18,2004-09-18,p. A12,,,,Annonce,"Swing|Bénac, Michel|Goulet, Jean-Philippe|ADISQ"
432,"Au nom du party, des fils de Swing et du set carré","TURCOT, Geneviève",Le Droit,,,3 décembre 2004,2004-12-03,2004-12-03,p. 28,,,,Compte rendu,"Swing|techno-trad|Bénac, Michel|Goulet, Jean-Philippe"
433,Des racines qui refont surface,"LESSARD, Valérie",Le Droit,,,11 décembre 2004,2004-12-11,2004-12-11,p. A3,,,,Analyse,"folklore|musique traditionelle|Swing|Bénac, Michel|techno-trad|Goulet, Jean-Philippe"
434,Swing poursuit sa tournée en France,,Le Droit,,,3 août 2005,2005-08-03,2005-08-03,p. 28,,,,Annonce,"Swing|Bénac, Michel|Goulet, Jean-Philippe"
435,Une autre folle Nuit à Sudbury,"FECTEAU, Jean-François",Le Voyageur,,,17 octobre 2001,2001-10-17,2001-10-17,p. 14,,,,Compte rendu,"La Nuit sur l'étang|Deux Saisons|Konflit Dramatik|Latreille, Éric"
436,"Que signifie, aujourd'hui, être francophone en Ontario ?","DOLECKI, Marta",L'Express de Toronto,,,29 mars - 4 avril 2005,2005-03-29,2005-04-04,p. 1 et 6,,,,Entrevue,"Demers, Paul|identité|langue"
437,"Philippe Flahaut, entre Rive-Gauche et South Side","DENIS, Dominique",L'Express de Toronto,,,16 - 22 avril 2002,2002-04-16,2002-04-22,p. 9,,,,Portrait,"Flahaut, Philippe|blues|Le chien|industrie"
438,Quand les chansons sortent de l'ombre,"DENIS, Dominique",L'Express de Toronto,,,11 - 17 mars 2003,2003-03-11,2003-03-17,p. 8,,,,Analyse,"Dubeau, Éric|industrie|prix Trille Or|Flahaut, Philippe|Doyon, Nicolas|Deux Saisons|Gala de la chanson et de la musique franco-ontariennes"
439,"Éric Dubeau, de sa guitare acoustique au Conseil des arts de l'Ontario","BACHAALANI, Catherine",L'Express de Toronto,,,27 mai - 2 juin 2003,2003-05-27,2003-06-02,p. 10,,,,Portrait,"Dubeau, Éric|langue|identité|industrie"
440,"Musique en ""famille"", avec Deux Saisons","BACHAALANI, Catherine",L'Express de Toronto,,,13 - 19 août 2002,2002-08-13,2002-08-19,p. 8,,,,Portrait,"Deux Saisons|Doyon, Nicolas|Grainger, Mathieu|Godin, Jocelyn|Lalonde, Jean-Marc|Przednowek, Marek|folklore"
441,Un coup d'état dans les règles de l'art,"DENIS, Dominique",L'Express de Toronto,,,25 - 31 octobre 2005,2005-10-25,2005-10-31,p. 9,,,,Critique,7IM VWA|Coup d'était|hip hop|R. Léo|Patchostars
442,"Philippe Flahaut lance son second CD le 6 mai. L'étoile, à défaut de l'Académie","DENIS, Dominique",L'Express de Toronto,,,20 - 26 avril 2004,2004-04-20,2004-04-26,p. 10,,,,Portrait,"Flahaut, Philippe|Seul avec les autres|industrie"
443,Première torontoire pour Tricia Foster,"BUXEDA, Yann",L'Express de Toronto,,,28 novembre - 4 décembre 2006,2006-11-28,2006-12-04,p. 8,,,,Annonce,"Tricia 412|Foster, Tricia|chanson engagée"
444,Il y a 30 ans. Le gros show CANO en concert,"SYLVESTRE, Paul-François",L'Express de Toronto,,,13 - 19 décembre 1995,1995-12-13,1995-12-19,p.  3,,,,Texte d'information,CANO-musique|historique
445,Damien Robitaille au Coup de coeur francophone. Un nouveau souffle pour la chanson,"DOLECKI, Marta",L'Express de Toronto,,,8 - 14 novembre 2005,2005-11-08,2005-11-14,p. 1 et 5,,,,Portrait,"Robitaille, Damien|langue|Coup de coeur francophone"
446,"Melwood Cutlery et ""Chuck"" Labelle lauréats des Chansons du fond du coeur","DE GRANPRE, Hugo",L'Express de Toronto,,,30 août - 5 septembre 2005,2005-08-30,2005-09-05,p. 4,,,,Annonce,"Labelle, Jean-Guy (Chuck)|prix Étoiles Galaxie"
447,Amélie a 30 printemps,"DE GRANPRE, Hugo",L'Express de Toronto,,,31 mai - 6 juin 2005,2005-05-31,2005-06-06,p. 8,,,,Portrait,"Lefebvre, Amélie|langue"
448,Réseau Ontario lance sa tournée 2005-2006. 24 spectacles sont au menu,"DOLECKI, Marta",L'Express de Toronto,,,3 - 9 mai 2005,2005-05-03,2005-05-09,p. 4,,,,Annonce,"Réseau Ontario|tournées|Robitaille, Damien"
449,Gala de la chanson et de la musique franco-ontariennes. Y aurait-il place à l'amélioration ?,"DOLECKI, Marta",L'Express de Toronto,,,19 - 25 avril 2005,2005-04-19,2005-04-25,p. 1 et 2,,,,Analyse,prix Trille Or|industrie|Gala de la chanson et de la musique franco-ontariennes
450,Rencontres en chansons : Un nouvel élan pour la musique francophone à Toronto,"INTRALIGI, Valérie",L'Express de Toronto,,,25 - 31 janvier 2005,2005-01-25,2005-01-31,p. 5,,,,Annonce,Rencontres en chansons
451,Swing le Salon !,"DENIS, Dominique",L'Express de Toronto,,,5 - 11 octobre 2004,2004-10-05,2004-10-11,p. 1 et 8,,,,Portrait,"Swing|Goulet, Jean-Philippe|Bénac, Michel|techno-trad|identité|langue"
452,Le spectacle Trente ans de chansons... séduit son public,"DIONNE, Bernard",L'Express de Toronto,,,21 - 27 septembre 2004,2004-09-21,2004-09-27,p. 1 et 4,,,,Compte rendu,"Monette, Serge|Lajoie, Josée|Demers, Paul|30 ans de chansons"
453,Réseau Ontario étend sa diffusion de spectacles franco-ontariens,"ROY, Caroline",L'Express de Toronto,,,14 - 20 septembre 2004,2004-09-14,2004-09-20,p. 4,,,,Texte d'information,Réseau Ontario|tournées|diffusion
454,Darryn Grandbois et Michel Payment remportent les Prix Chansons du fond du coeur 2004,,L'Express de Toronto,,,7 - 13 septembre 2004,2004-09-07,2004-09-13,p. 9,,,,Annonce,"prix Étoiles Galaxie|Grandbois, Darryn|Paiement, Michel|Conseil des festivals Folk de l'Ontario (CFFO)"
455,Il y a 55 ans. Naissance du chanteur Breen LeBoeuf,"SYLVESTRE, Paul-François",L'Express de Toronto,,,13 - 19 juillet 2004,2004-07-13,2004-07-19,p. 3,,,,Portrait,"Leboeuf, Breen"
456,Il y a 55 ans. Naissance du chanteur Robert Paquette,"SYLVESTRE, Paul-François",L'Express de Toronto,,,29 juin - 5 juillet 2004,2004-06-29,2004-07-05,p. 3,,,,Portrait,"Paquette, Robert"
457,Il y a 50 ans. Naissance du chanteur Chuck Labelle,"SYLVESTRE, Paul-François",L'Express de Toronto,,,16 - 22 mars 2004,2004-03-16,2004-03-22,p. 3,,,,Portrait,"Labelle, Jean-Guy (Chuck)"
458,Vent en poupe pour la chanson franco-ontarienne,"MARTINEZ, Élodie",L'Express de Toronto,,,22 - 28 juin 2004,2004-06-22,2004-06-28,p. 11,,,,Texte d'information,"industrie|Lalonde, Jean-Marc|APCM (Association des professionnels de la chanson et de la musique)|Flahaut, Philippe"
459,Un coup d'envoi dynamique avec Stéphane Paquette,"DUPIN, Laurence",L'Express de Toronto,,,11 - 17 novembre 2003,2003-11-11,2003-11-17,p. 1 et 2,,,,Compte rendu,"Paquette, Stéphane (Stef)|Coup de coeur francophone"
460,Accords et fausses notes aux États généraux de la chanson,"DENIS, Dominique",L'Express de Toronto,,,11 - 17 novembre 2003,2003-11-11,2003-11-17,p. 1 et 2,,,,Analyse,"industrie|Paquette, Robert|Dubeau, Éric|États généraux de la chanson et de la musique franco-ontariennes"
461,"Un tremplin pour Véronic DiCaire, Afro Connexion, Philippe Flahaut...","DENIS, Dominique",L'Express de Toronto,,,1 - 7 avril 2003,2003-04-01,2003-04-07,p. 1 et 2,,,,Annonce,"DiCaire, Véronic|Gala de la chanson et de la musique franco-ontariennes|Afro Connexion|Flahaut, Philippe"
462,La Nuit sur l'étang couronne ses gagnants,,L'Express de Toronto,,,9 - 15 mars 1999,1999-03-09,1999-03-15,p. 1,,,,Annonce,"La Nuit sur l'étang|Deux Saisons|Latreille, Éric"
463,"Les ""Frogs"" de l'Ontario célèbreront le 25e anniversaire de leur Nuit sur l'étang",,L'Express de Toronto,,,3 - 9 février 1998,1998-02-03,1998-02-09,p. 10,,,,Annonce,La Nuit sur l'étang
464,26e édition le 6 mars à Sudbury. La Nuit sur l'étang s'ouvre sur le monde,,L'Express de Toronto,,,2 - 8 février 1999,1999-02-02,1999-02-08,p. 1,,,,Annonce,La Nuit sur l'étang
465,Au Festival Franco-Ontarien d'Ottawa. Ontario Pop couronne ses lauréats,,L'Express de Toronto,,,30 juin - 6 juillet 1998,1998-06-30,1998-07-06,p. 12,,,,Annonce,"Ontario Pop|Charlebois, Manon|Burzynska, Kamila|Houle, Martin"
466,La 25e Nuit sur l'étang. Bonheur et fierté d'être Franco-Ontariens,"MOGHRABI, Nadim",L'Express de Toronto,,,10 - 16 mars 1998,1998-03-10,1998-03-16,p. 1 et 10,,,,Compte rendu,La Nuit sur l'étang
467,Éric Dubeau : le miroir et la voix,"DENIS, Dominique",L'Express de Toronto,,,24 - 30 avril 2001,2001-04-24,2001-04-30,p. 8,,,,Critique,"Dubeau, Éric|Coeur et âme"
468,Éric Dubeau partage la scène avec Mario Chenart à Mississauga le 8 avril,"PINEAULT, Marie-Chantal",L'Express de Toronto,,,3 - 9 avril 2001,2001-04-03,2001-04-09,p. 1 et 8,,,,Portrait,"Dubeau, Éric|langue"
469,Fiers!. Un album au concept historique,,L'Express de Toronto,,,10 - 16 avril 2001,2001-04-10,2001-04-16,p. 11,,,,Annonce,Fiers!|histoire de l'Ontario français
470,Deux-Saisons s'en va en studio,"BRULOTTE, Jean-François",L'Express de Toronto,,,10 - 16 avril 2001,2001-04-10,2001-04-16,p. 11,,,,Texte d'information,"Deux Saisons|Doyon, Nicolas|Godin, Jocelyn|Grainger, Mathieu|Lalonde, Jean-Marc|Prednowek, Marek|folk|Plus ça change, moins c'est pareil"
471,Breen le franco,"LEGAULT, Benoît",L'Express de Toronto,,,3 - 9 juillet 2001,2001-07-03,2001-07-09,p. 1 et 9,,,,Portrait,"Leboeuf, Breen|rock|langue|exode d'artistes"
472,Éric Dubeau remporte un concours de pistage radio,,L'Express de Toronto,,,18 décembre 2001 - 7 janvier 2002 ,2001-12-18,2002-01-07,p. 11,,,,Annonce,"Dubeau, Éric|Paradis des maudits|Concours de pistage de radio|promotion"
473,Un Franco-Torontois triomphe à Ontario-Pop!,,L'Express de Toronto,,,29 juin - 5 juillet 1999,1999-06-29,1999-07-05,p. 9,,,,Annonce,"Flahaut, Philippe|Ontario Pop"
474,30e Nuit sur l'étang,"SYLVESTRE, Paul-François",L'Express de Toronto,,,8 - 14 octobre 2002,2002-10-08,2002-10-14,p. 3,,,,Texte d'information,La Nuit sur l'étang|historique
475,Un nouveau responsable du secteur franco-ontarien au Conseil des arts de l'Ontario,,L'Express de Toronto,,,18 - 24 mars 2003,2003-03-18,2003-03-24,p. 4,,,,Texte d'information,"Dubeau, Éric|Conseil des arts de l'Ontario (CAC)"
476,Une nouvelle lune pour la Nuit sur l'étang,,L'Orignal déchaîné,,,13 octobre 2000,2000-10-13,2000-10-13,p. 3,,,,Texte d'information,La Nuit sur l'étang|programation
477,Nuit étoilée,"DUGAS, Sylvain L.",L'Orignal déchaîné,14,4,25 octobre 2000,2000-10-25,2000-10-25,p. 4-5,,,,Compte rendu,La Nuit sur l'étang
478,La 29e édition de La Nuit sur l'étang,"FOURNIER, Jules-Pierre",L'Orignal déchaîné,15,2,3 octobre 2001,2001-10-03,2001-10-03,p. 2 et 7,,,,Annonce,
479,Konflit d'intérêt,"LANDRY, Édouard",L'Orignal déchaîné,15,3,31 octobre 2001,2001-10-31,2001-10-31,p. 10,,,,Entrevue,"Berthiaume, Christian|Konflit Dramatik|identité|relève"
480,Une Nuit qui laissait à désirer,"DUGAS, Sylvain L.",L'Orignal déchaîné,15,3,31 octobre 2001,2001-10-31,2001-10-31,p. 2,,,,Opinion,La Nuit sur l'étang
481,Musique populaire et identité franco-ontariennes : une démystification de la Nuit sur l'étang,"BROCHU, Isabelle",L'Orignal déchaîné,15,4,22 novembre 2001,2001-11-22,2001-11-22,p. 10,,,,Compte rendu,"Musique populaire et identitié franco-ontariennes. La Nuit sur l'étang|Pichette, Marie-Hélène|La Nuit sur l'étang"
482,De jeunes bras qui rament à contre-courant...,"LAFRANCE, Joël",L'Orignal déchaîné,15,6,24 janvier 2002,2002-01-24,2002-01-24,p. 6 et 8,,,,Opinion,CANO-musique|CANO (documentaire)|relève|Konflit Dramatik|identité
483,Sortez de l'ombre,"LANDRY, Édouard",L'Orignal déchaîné,15,8,7 mars 2002,2002-03-07,2002-03-07,p. 5,,,,Opinion,Ontario Pop
484,Musicien en herbe. Le lancement du disque d'Antoine Tremblay-Beaulieu,"BRULÉ, Anne",L'Orignal déchaîné,16,2,30 octobre 2002,2002-10-30,2002-10-30,p. 11,,,,Annonce,"Tremblay-Beaulieu, Antoine|Que la fête débute"
485,La 30e Nuit sur l'étang,"COURCHESNE, Sarah",L'Orignal déchaîné,16,2,30 octobre 2002,2002-10-30,2002-10-30,p. 6,,,,Entrevue,"La Nuit sur l'étang|DiCaire, Véronic|Paquette, Stéphane (Stef)|Afro Connexion|En Bref|identité"
486,Du nouveau dans le nord!,"BRÛLÉ, Anne",L'Orignal déchaîné,16,7,13 mars 2003,2003-03-13,2003-03-13,p. 5,,,,Texte d'information,"La Nuit sur l'étang|Monette, Serge|18 roues"
487,Sudbury vibre de culture,"BRÛLÉ, Anne",L'Orignal déchaîné,17,1,24 septembre 2003,2003-09-24,2003-09-24,p. 7,,,,Annonce,Deux Saisons
488,Culture avec panache,"BRÛLÉ, Anne",L'Orignal déchaîné,17,2,15 octobre 2003,2003-10-15,2003-10-15,p. 7,,,,Annonce,"Aymar, Marcel|Monette, Serge|Lajoie, Josée|Konflit Dramatik|Berthiaume, Christian"
489,La Nuit sur l'étang,"BRÛLÉ, Anne",L'Orignal déchaîné,17,2,15 octobre 2003,2003-10-15,2003-10-15,p. 1,,,,Texte d'information,La Nuit sur l'étang|historique
490,La Nuit sur l'étang,"ST-PIERRE, Stéphanie",L'Orignal déchaîné,17,2,15 octobre 2003,2003-10-15,2003-10-15,p. 1,,,,Texte d'information,La Nuit sur l'étang|historique
491,Avec qui as-tu passé la Nuit ?,"ST-PIERRE, Stéphanie",L'Orignal déchaîné,17,3,13 novembre 2003,2003-11-13,2003-11-13,p. 16,,,,Compte rendu,"La Nuit sur l'étang|Aymar, Marcel|Swing|Bénac, Michel|Goulet, Jean-Philippe|identité"
492,Ma Nuit,"BRÛLÉ, Anne",L'Orignal déchaîné,17,3,13 novembre 2003,2003-11-13,2003-11-13,p. 15,,,,Opinion,La Nuit sur l'étang|identité
493,Huntington Concert Series présente : Broche à foin - Un quatuor de jazz du nord de l'Ontario,"LEONARD, Charlotte",L'Orignal déchaîné,18,1,15 septembre 2004,2004-09-15,2004-09-15,p.6,,,,Annonce,Broche à foin|Hommage à Anonyme|jazz
494,La 32e Nuit sur l'étang : soir du 15 octobre,"GAGNÉ, Joseph",L'Orignal déchaîné,18,3,17 novembre 2004,2004-11-17,2004-11-17,p. 8,,,,Compte rendu,"La Nuit sur l'étang|Lalonde, Jean-Marc|Doyon, Nicolas|Godin, Jocelyn|Robitaille, Damien|Lambert, Lise-Anne|Flahaut, Philippe"
495,La 32e Nuit sur l'étang : soir du 16 octobre,"DUGAS, Amélie L.",L'Orignal déchaîné,18,3,17 novembre 2004,2004-11-17,2004-11-17,p. 8,,,,Compte rendu,La Nuit sur l'étang|Varge
496,Le show d'la rentrée : spectacle valant la peine,"SYLVAIN, Véronique",L'Orignal déchaîné,19,2,21 septembre 2005,2005-09-21,2005-09-21,p. 7,,,,Compte rendu,"Paquette, Stéphane (Stef)|Konflit Dramatik|Berthiaume, Christian|Lalonde, Cory|Poulin, Josée|Richer, Jason|rock|rap"
497,La Nuit sur l'étang annulée,"DUPUIS, Serge",L'Orignal déchaîné,19,3,12 octobre 2005,2005-10-12,2005-10-12,p. 1 et 12,,,,Texte d'information,La Nuit sur l'étang
498,La Nuit regagne sa splendeur,,L'Orignal déchaîné,19,9,29 mars 2006,2006-03-29,2006-03-29,p. 1,,,,Compte rendu,"La Nuit sur l'étang|Demers, Paul|Lalonde, Jean-Marc"
499,Un bon vent. Deux Saisons,"BARRIÈRE, Caroline",Le Droit,,,21 août 1999,1999-08-21,1999-08-21,p. A9,,,,Texte d'information,"Deux Saisons|Lalonde, Jean-Marc"
500,Michel Lalonde : modestes débuts solo pour l'ex-chanteur de Garolou,"LAVOIE, Denis",La Presse,,,2 septembre 1988,1988-09-02,1988-09-02,p. A18,,,,Compte rendu,"Lalonde, Michel|Garolou"
501,Le retour de Garolou!,,Le Soleil,,,27 mars 1993,1993-03-27,1993-03-27,p. C6,,,,Texte d'information,Garolou
502,Garolou revient après dix ans d'absence,,La Presse,,,17 juin 1993,1993-06-17,1993-06-17,p. D2,,,,Texte d'information,"Garolou|Gagnon, Gaston|Deguire, Michel (Stan)|Lalonde, Michel|Guay, Réginald|Lalonde, Marc"
503,À la place d'Youville après dix ans d'absence. Garolou acclamé comme autrefois,"LEMIEUX, Louise",Le Soleil,,,14 juillet 1993,1993-07-14,1993-07-14,p. A5,,,,Compte rendu,"Garolou|Deguire, Michel (Stan)|Lalonde, Michel|Guay, Réginald|Lalonde, Marc|Gagnon, Gaston|Brasse-Camarade"
504,Deux Saisons à l'aube d'une nouvelle ère,"CÔTÉ, Christian",Le Droit,,,6 mai 2000,2000-05-06,2000-05-06,p. A14,,,,Annonce,"Au bal des bois|Deux Saisons|Deux Saisons (éponyme)|Lalonde, Jean-Marc|Doyon, Nicolas"
505,À deux mois d'une tournée en France. Deux Saisons perd deux de ses 5 membres,"JURY, Pierre",Le Droit,,,29 septembre 2000,2000-09-29,2000-09-29,p. 49,,,,Texte d'information,"Deux Saisons|Pichette, David|Larivière, Fritz|Lalonde, Jean-Marc|Doyon, Nicolas|Laforest, Martin|Godin, Jocelyn"
506,"Seul avec son violon, Pichette s'amuse. Une carrière solo qui débute","SAINT-LAURENT, Sylvain",Le Droit,,,23 décembre 2000,2000-12-23,2000-12-23,p. 9,,,,Entrevue,"Pichette, David|folklore|Deux Saisons"
507,"S'éclater en Deux Saisons, ou prendre son Swing!","DESCÔTEAUX, Josée",Le Droit,,,19 juillet 2001,2001-07-19,2001-07-19,p. 26,,,,Compte rendu,"Deux Saisons|Swing|Lalonde, Bobby|Bénac, Michel"
508,Deux Saisons dans une nouvelle virée,"CÔTÉ, Christian",Le Droit,,,26 octobre 2001,2001-10-26,2001-10-26,p. 52,,,,Entrevue,"Deux Saisons|Lalonde, Jean-Marc|Doyon, Nicolas|Larivière, Fritz|Pichette, David|Godin, Jocelyn|Grainger, Mathieu"
509,Artiste franco cherche oreille attentive. La bonne saison de Deux Saisons,"BARRIÈRE, Caroline",Le Droit,,,13 juin 1998,1998-06-13,1998-06-13,p. A4,,,,Texte d'information,Deux Saisons|Au bal des bois|folklore|identité
510,Une sympathique excuse pour parler franglais,"BERGERAS, Yves",Le Droit,,,20 août 2005,2005-08-20,2005-08-20,p. A12,,,,Annonce,"Pardon My French|Lalonde, Jean-Marc|Doyon, Nicolas|Godin, Jocelyn|chanson en anglais|musique traditionelle"
511,Un beau succès pour le Festival franco-ontarien,,Le Soleil,,,26  juin 1998,1998-06-26,1998-06-26,p. B5,,,,Compte rendu,Festival Franco-ontarien|Deux Saisons
512,"Le prix Trille or. Deux Saisons, Swing et Paul Demers dans la course","BARRIÈRE, Caroline",Le Droit,,,28 février 2001,2001-02-28,2001-02-28,p. 39,,,,Annonce,"prix Trille Or|nomination|Deux Saisons|Swing|Demers, Paul|Paquette, Robert|Labelle, Jean-Guy (Chuck)|Séguin, Manon|Gala de la chanson et de la musique franco-ontariennes"
513,DiCaire et Deux Saisons dictent le tempo,,Le Droit,,,19 février 2003,2003-02-19,2003-02-19,p. 45,,,,Annonce,"DiCaire, Véronic|Deux Saisons|prix Trille Or|nomination|Gala de la chanson et de la musique franco-ontariennes"
514,Quatre Trille d'or pour Swing,,La Presse,,,30 mars 2001,2001-03-30,2001-03-30,p. C3,,,,Annonce,"Swing|Deux Saisons|Vollé, Yvan (Yvan Bilodeau)"
515,"Lors du premier Gala de la chanson et de la musique franco-ontariennes. Swing, Deux Saisons raflent deux trophées chacun","BARRIÈRE, Caroline",Le Droit,,,22 mars 2001,2001-03-22,2001-03-22,p. 27,,,,Annonce,"Swing|Deux Saisons|prix Trille Or|Leboeuf, Breen|Vollé, Yvan (Yvan Bilodeau)|Paquette, Robert|Gala de la chanson et de la musique franco-ontariennes"
