Numéro notice,Titre,Auteur,Titre Périodique,Volume,Numéro,Date,DateDébut,DateFin,Collation,Editeur,Lieu,Notes,Type,Sujets
304,Dernier jour de Deux Saisons,"TURCOT, Geneviève",Le Droit,,,26 juin 2004,2004-06-26,2004-06-26,p. A5,,,,Texte d'information,"Deux Saisons|Doyon, Nicolas|Lalonde, Jean-Marc|Grainger, Mathieu|Godin, Jocelyn|Newman, Martin"
305,Roshan Musa et Stéphanie Rideout grandes gagnantes d'Ontario Pop,"LORD, Audrey",Le Droit,,,23 juin 2004,2004-06-23,2004-06-23,p. 50,,,,Annonce,"Ontario Pop|Musa, Roshan|Rideout, Stéphanie"
306,Amélie Lefebvre gagne l'Ontario Pop,"MAGNY, André",Le Droit,,,28 juin 2005,2005-06-28,2005-06-28,p. 24,,,,Annonce,"Ontario Pop|Lefebvre, Amélie"
307,"Neuvième édition d'Ontario Pop. Constant et Dicaire, les gagnants","JOANISSE, Marc-André",Le Droit,,,6 juin 1994,1994-06-06,1994-06-06,p. 19,,,,Annonce,"Ontario Pop|Constant, Léonard|DiCaire, Véronic"
308,Lauréates d'Ontario Pop : Martine Lafontaine et Sara Vafaï,"DALCOURT, Christiane",Le Droit,,,12 juin 1995,1995-06-12,1995-06-12,p. 18,,,,Annonce,"Ontario Pop|Lafontaine, Martine|Vafaï, Sara"
309,Singers win chance to cut a record,"FUNSTON, Brad",The Ottawa Citizen,,,7 juillet 1990,1990-07-07,1990-07-07,p. G8,,,,Annonce,"Ontario Pop|Barrette, Simon|Côté, Julie|chanter en français"
310,Ontario Pop lance le Festival franco-ontarien,"BARRIÈRE, Caroline",Le Droit,,,20 juin 1998,1998-06-20,1998-06-20,p. 4,,,,Annonce,"Ontario Pop|Charlebois, Manon|Burzynska, Kamila"
311,Gagnante du concours Ontario Pop. Meilleure interprète : Renelle Tousignant,"CÔTÉ, Christian",Le Droit,,,28 juin 1999,1999-06-28,1999-06-28,p. 25,,,,Annonce,"Ontario Pop|Tousignant, Renelle|Roy, Mélissa"
312,Meilleur auteur et chanson primée au concours Ontario pop. Flahaut décroche le gros lot,"CÔTÉ, Christian",Le Droit,,,28 juin 1999,1999-06-28,1999-06-28,p. 24,,,,Annonce,"Flahaut, Philippe|Ontario Pop"
313,Le Franco. David Pelletier rafle les honneurs,"BÉLANGER, Mathieu",Le Droit,,,21 juin 2002,2002-06-21,2002-06-21,p. 37,,,,Annonce,"Ontario Pop|Pelletier, David"
